rank,word,paradigm,frequency,weight,DISKRIM,LAMUV,NETAISN,AICIN,DARB,PERS,ASOC,MILIT,NOSOD,EMOC,NODEV
86,nošaut,K1.aut.auju.āvu,41940,1.0,0,0,0,1,1,0,0,0,0,0,0
87,kremlins,D1.s,41670,0.4,0,1,0,0,0,0,0,0,0,0,0
88,genocīds,D1.s,41669,1.0,0,0,0,0,1,0,0,0,0,0,0
89,pamuļķis,D2.is,41170,0.4,0,1,0,0,0,0,0,0,0,0,0
90,nelietis,D2.tis,40668,0.7,0,0,0,0,0,0,0,0,1,0,0
91,govs,D6.s,40640,0.4,0,1,0,0,0,0,0,0,0,0,0
92,nelegāls,Īp.s,40482,0.7,0,0,1,0,0,0,0,0,0,0,0
93,čeka,D4.a,39836,0.4,0,0,0,0,0,0,1,0,0,0,0
94,žurka,D4.a,39831,0.4,0,1,0,0,0,0,0,0,0,0,0
95,fašisms,D1.s,39773,0.4,0,0,0,0,0,0,1,0,0,0,0
96,auns,D1.s,39416,0.4,0,1,0,0,0,0,0,0,0,0,0
97,agresija,D4.a,39233,0.4,0,0,0,0,0,0,1,0,0,0,0
98,vardarbība,D4.a,39153,1.0,0,0,0,0,1,0,0,0,0,0,0
99,kangars,D1.s,38757,0.7,0,0,0,0,0,1,0,0,0,0,0
100,kliķe,D5.e,38224,0.7,0,0,1,0,0,0,0,0,0,0,0
101,slepkavot,K2.t,38199,1.0,0,0,0,0,1,0,0,0,0,0,0
102,kauties,K1.auties.aujos.āvos,37178,1.0,0,0,0,0,1,0,0,0,0,0,0
103,uts,D6.s,36967,0.7,1,0,0,0,0,0,0,0,0,0,0
104,apzagt,K1.agt.ogu.agu,36725,0.85,0,0,1,0,1,0,0,0,0,0,0
105,kretīns,D1.s,36328,0.4,0,1,0,0,0,0,0,0,0,0,0
106,iznīcināts,Īp.s,36290,1.0,0,0,0,0,1,0,0,0,0,0,0
107,līķis,D2.is,34771,0.4,0,0,0,0,0,0,1,0,0,0,0
