rank,word,paradigm,frequency,weight,DISKRIM,LAMUV,NETAISN,AICIN,DARB,PERS,ASOC,MILIT,NOSOD,EMOC,NODEV
322,iegrūst,K1.st.žu.du,10074,1.0,0,0,0,0,1,0,0,0,0,0,0
323,aizskart,K1.art.aru.āru,9999,1.0,0,0,0,0,1,0,0,0,0,0,0
324,liekulība,D4.a,9983,0.7,0,0,0,0,0,0,0,0,1,0,0
325,munīcija,D4.a,9971,0.4,0,0,0,0,0,0,0,1,0,0,0
326,aizvākties,K1.kties.cos.cos,9948,1.0,0,0,0,0,1,0,0,0,0,0,0
327,čurka,D4.a,9922,0.55,1,1,0,0,0,0,0,0,0,0,0
328,jābaidās,Fix,9903,0.1,0,0,0,0,0,0,0,0,0,0,0
329,nelietība,D4.a,9841,0.7,0,0,0,0,0,0,0,0,1,0,0
330,zvērība,D4.a,9816,0.4,0,0,0,0,0,0,1,0,0,0,0
331,manipulācija,D4.a,9793,0.7,0,0,1,0,0,0,0,0,0,0,0
332,aizsargāts,Īp.s,9752,0.4,0,0,0,0,0,0,0,1,0,0,0
333,zagts,Īp.s,9688,0.8,0,0,1,0,1,0,0,0,1,0,0
334,aizsargs,D1.s,9604,0.4,0,0,0,0,0,0,0,1,0,0,0
335,zobens,D1.s,9590,0.4,0,0,0,0,0,0,0,1,0,0,0
336,slepkavošana,D4.a,9557,1.0,0,0,0,0,1,0,0,0,0,0,0
337,sāpēt,K3.ēt,9549,0.7,0,0,0,0,0,0,1,0,0,1,0
338,zādzība,D4.a,9549,0.8,0,0,1,0,1,0,0,0,1,0,0
339,cietumsods,D1.s,9537,0.4,0,0,0,0,0,0,1,0,0,0,0
340,sadedzināt,K3.ināt,9526,1.0,0,0,0,1,1,0,0,0,0,0,0
341,jācieš,Fix,9507,0.55,0,0,1,0,0,0,1,0,0,0,0
342,mudaks,D1.s,9493,0.4,0,1,0,0,0,0,0,0,0,0,0
343,nāvessods,D1.s,9442,0.4,0,0,0,0,0,0,1,0,0,0,0
344,gāzties,K1.zties.žos.zos,9423,1.0,0,0,0,0,1,0,0,0,0,0,0
345,cionists,D1.s,9393,0.7,1,0,0,0,0,0,0,0,0,0,0
346,dakša,D4.a,9391,0.4,0,0,0,0,0,0,1,0,0,0,0
347,ādolfs,D1.s,9376,0.7,0,0,0,0,0,1,0,0,0,0,0
348,apmelot,K2.t,9294,0.7,0,0,1,0,0,0,0,0,0,0,0
349,войско,Rus,9284,0.4,0,0,0,0,0,0,0,1,0,0,0
350,parazitēt,K2.t,9270,0.7,0,0,1,0,0,0,0,0,1,0,0
351,agonija,D4.a,9267,0.4,0,0,0,0,0,0,1,0,0,0,0
352,degradēt,K2.t,9255,0.4,0,0,0,0,0,0,1,0,0,0,0
353,lauķis,D2.is,9204,0.7,1,0,0,0,0,0,0,0,0,0,0
354,mahinācija,D4.a,9194,0.7,0,0,1,0,0,0,0,0,0,0,0
355,nogalināšana,D4.a,9144,1.0,0,0,0,0,1,0,0,0,0,0,0
